firstname,male,female
Zakariya,true,false
Zakary,true,false
Zakarya,true,false
Zara,false,true
Zayan,true,false
Zayd,true,false
Zayn,true,false
Zayna,false,true
Zaynab,false,true
Zayneb,false,true
Zehra,false,true
Zeina,false,true
Zeinab,false,true
Zeineb,false,true
Zelia,false,true
Zelie,false,true
Zephyr,true,false
Zeyd,true,false
Zeyna,false,true
Zeynab,false,true
Zeyneb,false,true
Zeynep,false,true
Zia,false,true
Ziad,true,false
Zian,true,false
Zina,false,true
Zineb,false,true
Zinedine,true,false
Zion,true,false
Zita,false,true
Ziyad,true,false
Ziyed,true,false
Zoe,false,true
Zoelie,false,true
Zoey,false,true
Zohra,false,true
Zola,true,true
Zora,false,true
Zyad,true,false
Zyed,true,false
